guid,localTime,created,updated,status,attachedUser,path,apiTarget,actionTarget,success,resultDescription
409b32a8-9750-47b2-b4cf-0c87c5839a41,2021-05-26 13-23-19,637576321992315173,637576321992315173,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
a5b20e90-3d7f-40ed-a4a6-fee9a75597dc,2021-05-26 13-25-38,637576323389573264,637576323389573264,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
b5d7c228-e425-4e1a-ace5-9c661020a7de,2021-05-26 13-26-14,637576323741978667,637576323741978667,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
e563918e-d9ab-4c14-9c13-e69c411d497b,2021-05-26 13-32-25,637576327454500889,637576327454500889,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
d4f58ba1-40e1-4d6e-9815-809ddeec65ba,2021-05-26 13-33-52,637576328323500825,637576328323500825,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
9ba35305-06c6-468b-b380-1ee71acc4432,2021-05-26 13-34-29,637576328699407693,637576328699407693,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
ff931017-2d1c-4907-abe5-47c77a0a8dd8,2021-05-26 13-34-41,637576328810093796,637576328810093796,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
b6baba4c-8ea0-4cac-b66e-9eed0ce55706,2021-05-26 13-35-42,637576329426128737,637576329426128737,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
11107bb2-89ad-4374-95f7-1c1cd44da9a9,2021-05-26 13-36-50,637576330100310771,637576330100310771,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
e9ddddca-88cd-40f5-bdb5-d3e2c2f53af5,2021-05-26 13-37-00,637576330200127055,637576330200127055,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
5002bd22-7265-4834-a085-045314f1ca21,2021-05-26 13-38-21,637576331013397257,637576331013397257,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
ed7320b5-96a8-4df9-832a-b222b797c865,2021-05-26 13-38-59,637576331391911204,637576331391911204,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
e2bdbb5f-2884-4e53-b149-db9ec9fffc21,2021-05-26 13-39-57,637576331970759634,637576331970759634,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
6851d5de-6385-4e1e-aea1-6fe91a8568be,2021-05-26 13-40-06,637576332061405982,637576332061405982,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
62fdd58c-384c-484e-adab-6b2c26171f38,2021-05-26 13-40-11,637576332117546115,637576332117546115,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
5e7b2331-98e6-4f45-92ed-6c085fa97ba6,2021-05-26 13-40-11,637576332117546115,637576332117546115,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
91f34902-a09c-4f05-a374-2469cbadd3fc,2021-05-26 13-40-23,637576332237115213,637576332237115213,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
a0c19d40-c3ff-463f-9b2c-cb2a00672568,2021-05-26 14-08-01,637576348818193115,637576348818193115,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
6736fef7-0de9-4e5e-a1b5-420d30c2b740,2021-05-26 14-08-07,637576348873818609,637576348873818609,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
447d7a7a-8df7-4cbb-a1fc-d029fad0c20a,2021-05-26 15-00-13,637576380130605715,637576380130605715,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
a3188c04-6830-4727-b431-c8ac1ce2a685,2021-05-26 15-55-13,637576413130575647,637576413130575647,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
4b23227f-14d3-48d5-8e00-04024e01fb37,2021-05-26 17-03-08,637576453887781021,637576453887781021,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByToken.aspx,Login Successfully,True,default
2991ee5b-b336-4cb1-ac37-11d825793e9a,2021-05-26 17-03-41,637576454211348696,637576454211348696,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnSendVehicleTracking.aspx,Record Tracking Data,true,1_D000-0002_A_35_2000_D_E_F_G_H_I_J_1,1,20210506021643.000,-37.7442445697555,144.96819887673,376.900,0.00,73.1,1,,500.0,500.0,500.0,,22,2,,,,35,,
6d6204dc-0974-40aa-8448-831c9535bb8c,2021-05-26 17-04-09,637576454498626736,637576454498626736,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
91c749be-582f-405b-a960-ea3d04c36e0d,2021-05-26 17-04-09,637576454498626736,637576454498626736,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
3107fff2-5600-4e5e-8b36-780bb096768b,2021-05-26 17-04-25,637576454659287216,637576454659287216,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
