guid,localTime,created,updated,status,attachedUser,path,apiTarget,actionTarget,success,resultDescription
a3ad1773-1b1a-426c-bd82-a00aed709e05,2021-05-25 16-34-44,637575572843394775,637575572843394775,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
ab7ebafd-63ee-4080-9b48-5a907483e8d1,2021-05-25 16-37-27,637575574475426450,637575574475426450,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
3bf6ce2a-df98-4a1e-bfa2-1549e9ea7017,2021-05-25 16-37-27,637575574475426450,637575574475426450,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
13aaaa33-31fb-48bf-a14f-670688c0d836,2021-05-25 16-37-59,637575574790032618,637575574790032618,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
024e0f62-8aa9-4e72-a792-76ce6816ba31,2021-05-25 16-37-59,637575574790032618,637575574790032618,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
21f9fd77-f34d-47b8-9e14-d27fb18623a4,2021-05-25 16-38-31,637575575119901856,637575575119901856,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
9e96979a-9415-4609-890f-f5653c68c165,2021-05-25 16-38-31,637575575119901856,637575575119901856,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
07ab2cad-8d16-433b-86de-785ea7588c47,2021-05-25 16-38-39,637575575194773171,637575575194773171,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
f6797e01-e372-4e6a-bf7d-0b7e12057efc,2021-05-25 16-39-24,637575575648342409,637575575648342409,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
2fe9c4eb-cf47-4448-a9a1-31447bb6d6c1,2021-05-25 16-39-24,637575575648342409,637575575648342409,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
801fe5c5-073c-4290-9493-66f603402b51,2021-05-25 16-39-31,637575575716160446,637575575716160446,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
31adb9e4-f553-40bd-8fd3-2e10e0a531ec,2021-05-25 16-40-00,637575576008220165,637575576008220165,dev,272T0ymkF0KixH3QmaXMwQ,dev,OnRequestSendSMS.aspx,AWS request send sms,true,default
88819b7b-554d-4b98-a0a6-b2783a21d5b9,2021-05-25 16-40-00,637575576008220165,637575576008220165,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnUserRequestAuthCode.aspx,user request authorize code,true,default
fa62ad7f-3292-48fe-b3d8-cee4fa104b84,2021-05-25 16-40-09,637575576093373812,637575576093373812,dev,xVgsbCuuxkCGFDwLk1EpEQ,dev,OnRequestLoginByMobile.aspx,Login Successfully,True,default
